string	string	int	int[]	int	int[]	int	int[]	int[]
SoundTip	声源提示	1	1,1	1	1,1	1	1,1	1,0
VoiceTip	战场语音播报	1	1,1	1	1,1	1	1,1	1,0
EarphoneMic	使用耳机 Mic	1	1,1	1	1,1	0	1,1	1,0
PackEquipState	不显示背包	1	0,0	1	0,0	1	0,0	0,1
ArmorEquipState	不显示护甲	1	0,0	1	0,0	1	0,0	0,1
DrugState	智能药品	1	1,1	1	1,1	1	1,1	1,0
WatchState	观战权限	1	1,1	1	1,1	1	1,1	1,0
DisturbState	免打扰模式	1	0,0	1	0,0	1	0,0	1,0
StrangerChatState	陌生人聊天	1	1,1	1	1,1	1	1,1	1,0
BattleReplay	录像	1	1,1	1	1,1	1	1,1	1,0
manualSetting	操作模式页	1	1,1	1	1,1	0	1,1	1,0
carManualSetting	载具页	1	1,1	1	1,1	0	1,1	1,0
Operation	操作模式页	1		1		0		1,0
Car	载具页	1		1		0		1,0
Sensitivity-Gyro	灵敏度页-陀螺仪灵敏度	1	0,0	1	0,0	0	0,0	1,0
Basic-GunSetting	基础-枪械设置	1		1		0		1,0
Basic-FaithShooting	基础-弯腰信仰射击	1		1		0		1,0
Input	按键页	0		0		1		1,0
Squat	蹲	0	1,1	0	1,1	1	0,1	0,1
Lie	趴	0	1,1	0	1,1	1	0,1	0,1
Aim	瞄准	0	1,1	0	1,1	1	0,1	0,1
BentOverToShoot	弯腰射击姿势	0	1,1	0	1,1	1	0,1	0,1
FaithShooting	信仰射击姿势	0	1,1	0	1,1	1	0,1	0,1
HoldYourBreath	屏息	0	1,1	0	1,1	1	0,1	0,1
ThrowButton	投掷按钮	0	1,1	0	1,1	1	1,1	0,1
Map	打开地图	0	1,1	0	1,1	1	0,1	0,1
AutoRun	自动奔跑	0	1,1	0	1,1	1	0,1	0,1
ControlSettings	打开地图	0	1,1	0	1,1	1	0,1	1,0
PcNoviceGuide	Pc新手引导	0	1,1	0	1,1	1	1,1	1,0
FreeLookSensitivity	灵敏度页-小眼睛灵敏度	0	0,0	0	0,0	1	0,0	1,0
SkydivingMusic	跳伞音乐	1	1,0	1	1,0	1	1,0	1,0
TrackRoute	网络诊断页	1		1		0		1,0
Auto_Fire_ZiZiBeng	滋滋泵	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_HandCannon	手炮	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_ParticleCannon	粒子炮	1	1,1	1	1,1	1	1,1	1,0
SwitchRegion	切换服务器	1		1		0		1,0
StrangerChat	陌生人聊天	1		1		1		
ScreenModel	PC是否全屏	0	1,1	0	1,1	1	1,1	0,1
WeaponSoundEffect	枪械音效	1	0,0	1	0,0	1	0,0	1,0
CursorMode	鼠标是否能移出	1	1,0	1	1,0	1	1,1	1,0
ShowFashionSkin	显示时装	1	1,1	1	1,1	1	0,0	0,1
CameraFov	相机Fov	1	1,0	1	1,0	1	1,0	1,0
LanguageBtn	语言	1		1		0		1,0
VoiceLanguage	性别音效	1	1,1	1	1,1	1	0,0	0,1
WarUIVisibility	无UI模式	1	0,0	1	0,0	0	0,0	1,0
PickupThrownItemLimit	自动拾取投掷物上限	1	1,0	1	1,0	1	1,0	1,0
KillSoundEffect	击杀语音播报	1	1,0	1	1,0	1	1,0	1,0
AudioQuality	音频品质	1	0,0	1	0,0	0	0,0	0,1
SkinEffect	低端机皮肤特效	1	0,0	1	0,0	1	0,0	1,0
GraphicPost	PC风格选择	0	0,0	0	0,0	1	0,0	1,0
FrameLimit	帧率限制	0	0,0	0	0,0	1	0,0	0,1
HiddenWeaponShotType	暗器开火模式	1	1,1	1	1,1	1	1,1	0,1
PcShadow	PC阴影	0	0,0	0	0,0	1	0,0	0,1
PcHighQuality	PC战场画面	0	0,0	0	0,0	1	0,0	0,1
Ambience	环境光遮蔽	0	0,0	0	0,0	1	0,0	0,1
LODRefine	建筑模型精细	0	0,0	0	0,0	1	0,0	0,1
AntiAliasing	抗锯齿	0	0,0	0	0,0	1	0,0	0,1
GrassLevel	草地质量	0	0,0	0	0,0	1	0,0	0,1
WaterReflection	水面反射	0	0,0	0	0,0	1	0,0	0,1
WaterLevel	水面质量	0	0,0	0	0,0	1	0,0	0,1
PcGlobalPreset	PC全局预设	0	0,0	0	0,0	1	0,0	0,1
GrassNum	草地密度	0	0,0	0	0,0	1	0,0	0,1
WatchOtherTitle	战场称号显示	1	0,0	1	0,0	1	0,0	0,1
JoyStick	摇杆配置	0	1,1	0	1,1	1	1,1	1,0
LeftHandMode	左手模式	0	1,1	0	1,1	1	0,0	1,0
GamePadAssistAim	手柄辅助瞄准	0	1,1	0	1,1	1	1,1	1,0
GamePadAim	手柄瞄准	0	1,1	0	1,1	1	1,1	1,0
GamePadThrow	手柄投掷按钮	0	1,1	0	1,1	1	1,1	1,0
GamePadReverseView	反向视角	0	1,1	0	1,1	1	0,0	0,1
GamePadShake	震动	0	1,1	0	1,1	0	0,0	1,0
GamePad	手柄设置	0	0,0	0	0,0	1	1,1	1,0
Curvature	曲线扩展	0	0,0	0	0,0	1	1,1	1,0
BackgroundSound	后台音效	0	0,0	0	0,0	1	1,1	1,0
InteractiveHallKey	上线自动进入社交广场	1	1,1	1	1,1	1	1,1	1,0
LobbyTime	昼夜替换功能	1	0,0	1	0,0	1	0,0	0,1
